Name,Address,Product,Draw,Value,Postal_Code,Latitude,Longitude
GATEWAY NEWSTANDS,9350 YONGE ST L4C-5G2 RICHMOND HILL,BINGO DBLR,31-2315,100000.0,L4C-5G2,43.854836,-79.436561
GATEWAY NEWSTANDS,9350 YONGE ST L4C-5G2 RICHMOND HILL,Poker Lotto,28-May-2023,100000.0,L4C-5G2,43.854836,-79.436561
GATEWAY NEWSTANDS #302,1530 ALBION RD M9V-1B4 ETOBICOKE,CROSSTRIPLER,31-3301,100000.0,M9V-1B4,43.74168,-79.5844
GEORGE'S CONVENIENCE,12612 HIGHWAY 50 L7E-1T6 BOLTON,100KMONYMTCH,31-2358,100000.0,L7E-1T6,43.859935,-79.712834
GEORGE'S CONVENIENCE,9445 MISSISSAUGA RD L6X-0Z8 BRAMPTON,100KMONYMTCH,31-2358,100000.0,L6X-0Z8,43.65614,-79.813885
GIANT TIGER #216 FERGUS,900 TOWER ST S N1M-3N7 FERGUS,Encore - Lotto Max,07-Apr-2023,100000.0,N1M-3N7,43.696489,-80.364504
GOCO GAS STATION CONVENIENCE,7326 ARKONA RD N0M-1B0 ARKONA,Encore - 649,03-Jun-2023,100000.0,N0M-1B0,43.072648,-81.833834
GOOD LUCK VARIETY,241 DUNSDON ST N3R-7C3 BRANTFORD,Encore - Lotto Max,09-May-2023,100000.0,N3R-7C3,43.182854,-80.257657
GOODIES CONVENIENCE,107 KENNEDY RD S L6W-3G3 BRAMPTON,Encore - Lotto Max,31-Mar-2023,100000.0,L6W-3G3,43.68608,-79.737563
GORE GIFT & VARIETY,2031 LAKESHORE RD L7R-1A2 BURLINGTON,SUIT UP,31-2356,100000.0,L7R-1A2,43.325233,-79.795128
GRAND MINI MART & VIDEO,895 GRAND AVE W N7L-1C8 CHATHAM,Encore - Lotto Max,28-Apr-2023,100000.0,N7L-1C8,42.394529,-82.216247
GREEN SPOT CONVENIENCE,20 LEE CENTRE DR M1H-3H9 SCARBOROUGH,100KMONYMTCH,31-2358,100000.0,M1H-3H9,43.780802,-79.247476
HANMER KWIK WAY,7 COTE BLVD P3P-1X5 HANMER,Encore - Lotto Max,03-Feb-2023,100000.0,P3P-1X5,46.649783,-80.944111
INS MARKET #5140,2960 KINGSWAY DR N2C-1X1 KITCHENER,Encore - 649,12-Apr-2023,100000.0,N2C-1X1,43.424323,-80.438605
JASPREET KITCHEN FOOD FAIR,6986 FINANCIAL DR L5N-8J4 MISSISSAUGA,Encore - 649,17-Jun-2023,100000.0,L5N-8J4,43.610912,-79.750022
JOE'S VARIETY,592 NOTRE DAME ST N0R-1A0 BELLE RIVER,Encore - 649,24-Jun-2023,100000.0,N0R-1A0,42.293048,-82.710489
JUG CITY,3750 LAWRENCE AVE E M1G-1R1 SCARBOROUGH,Encore - Lotto Max,11-Jul-2023,100000.0,M1G-1R1,43.762778,-79.214999
KEN'S VARIETY,10 VANIER DR N7L-4P6 CHATHAM,Encore - Lotto Max,14-Jul-2023,100000.0,N7L-4P6,42.4179677,-82.1761181
KIRK'S GAS & CONVENIENCE,2440 518 HWY W P0A-1Y0 SPRUCEDALE,Encore - Lotto Max,02-Jun-2023,100000.0,P0A-1Y0,45.491176,-79.459569
KITCHEN FOOD FAIR CONVENIENCE,751 DON MILLS RD M3C-1S3 NORTH YORK,Encore - Lotto Max,31-Mar-2023,100000.0,M3C-1S3,43.714189,-79.335903
LOBLAWS #1179 - BROADVIEW,720 BROADVIEW AVE M4K-2P1 TORONTO,Encore - Lotto Max,31-Mar-2023,100000.0,M4K-2P1,43.675142,-79.358481
LONGO'S #12 - MAPLE,2810 MAJOR MACKENZIE DR L6A-1R8 MAPLE,PAYLN MULTPR,31-2349,100000.0,L6A-1R8,43.851758,-79.535261
LUCKY LOTTO VARIETY & BEAUTY SUPPLY,3105 KINGSTON RD M1M-1P1 SCARBOROUGH,Encore - 649,22-Feb-2023,100000.0,M1M-1P1,43.727067,-79.229529
M & D VARIETY,2700 KIPLING AVE M9V-4P2 ETOBICOKE,Encore - 649,05-Apr-2023,100000.0,M9V-4P2,43.75669,-79.58931
MAC'S MILDMAY,57 ELORA ST N0G-2J0 MILDMAY,Encore - Lotto Max,30-May-2023,100000.0,N0G-2J0,43.7425369,-81.2514862
MACEWEN CARLETON PLACE (21280),322 WILLIAM ST K7C-3S3 CARLETON PLACE,CROSSTRIPLER,31-3301,100000.0,K7C-3S3,45.14230063,-76.14797476
MACEWEN LUCAN (21018),33406 RICHMOND ST. N0M-2J0 LUCAN,Encore - 649,06-May-2023,100000.0,N0M-2J0,43.185532,-81.396887
MARG'S NORTHERN CONVENIENCE,210 O'BRIEN ST P0T-1C0 ATIKOKAN,Encore - 649,15-Feb-2023,100000.0,P0T-1C0,48.758079,-91.6221585
METRO #055- GUELPH,500 EDINBURGH ST N1G-4Z1 GUELPH,Encore - 649,01-Apr-2023,100000.0,N1G-4Z1,43.521511,-80.233453
MR. GAS,4042 INNES RD K1C-1T1 ORLEANS,Encore - 649,29-Mar-2023,100000.0,K1C-1T1,45.455199,-75.505145
OASIS CONVENIENCE,7297 HWY #26 L0M-1S0 STAYNER,Encore - Lottario,29-Apr-2023,100000.0,L0M-1S0,44.41815186,-80.10237885
OASIS GAS & VARIETY,1824 FOURTH LINE N0A-1M0 OHSWEKEN,POWER UP,31-2368,100000.0,N0A-1M0,43.068235,-80.117545
ON THE RUN ULTRAMAR GAS STATION,10 NORMAN JONES PL L4A-7X5 STOUFFVILLE,Encore - Lotto Max,30-Jun-2023,100000.0,L4A-7X5,43.974521,-79.282127
ORANGE MART,3603 HIGHWAY 7  E L3R-8W3 MARKHAM,WHEEL OF FORTUNE LOTTO,01-May-2023,100000.0,L3R-8W3,43.853251,-79.338063
